GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dogs Race (Java 21),edu.eci.arsw.dogsrace.app,MainCanodromo.new ActionListener() {...},80,0,4,0,18,0,5,0,3,0
Dogs Race (Java 21),edu.eci.arsw.dogsrace.app,MainCanodromo.new ActionListener() {...},9,0,0,0,4,0,2,0,2,0
Dogs Race (Java 21),edu.eci.arsw.dogsrace.app,MainCanodromo.new ActionListener() {...},9,0,0,0,4,0,2,0,2,0
Dogs Race (Java 21),edu.eci.arsw.dogsrace.app,MainCanodromo,41,0,0,0,10,0,3,0,3,0
Dogs Race (Java 21),edu.eci.arsw.dogsrace.domain,ArrivalRegistry.ArrivalSnapshot,0,9,0,0,0,1,0,1,0,1
Dogs Race (Java 21),edu.eci.arsw.dogsrace.domain,ArrivalRegistry,0,40,0,2,0,10,0,5,0,4
Dogs Race (Java 21),edu.eci.arsw.dogsrace.util,RandomGenerator,4,0,0,0,1,0,1,0,1,0
Dogs Race (Java 21),edu.eci.arsw.dogsrace.control,RaceControl,10,54,0,2,2,17,1,5,1,4
Dogs Race (Java 21),edu.eci.arsw.dogsrace.threads,Galgo,83,0,4,0,22,0,5,0,3,0
Dogs Race (Java 21),edu.eci.arsw.dogsrace.ui,Canodromo.new WindowAdapter() {...},6,0,0,0,3,0,2,0,2,0
Dogs Race (Java 21),edu.eci.arsw.dogsrace.ui,Canodromo,268,0,8,0,56,0,12,0,8,0
Dogs Race (Java 21),edu.eci.arsw.dogsrace.ui,Carril,121,0,4,0,31,0,12,0,10,0
